genre,platform,total_juegos,critic_score_nulos,critic_score_no_nulos,critic_score_pct_nulos,rating_nulos,rating_no_nulos,rating_pct_nulos,user_score_nulos,user_score_no_nulos,user_score_pct_nulos
Action,GEN,3,3,0,100.0,3,0,100.0,3,0,100.0
Action,DC,3,3,0,100.0,3,0,100.0,3,0,100.0
Action,PSV,149,111,38,74.49664429530202,98,51,65.77181208053692,102,47,68.45637583892618
Action,SAT,3,3,0,100.0,3,0,100.0,3,0,100.0
Fighting,Wii,42,14,28,33.33333333333333,12,30,28.57142857142857,16,26,38.095238095238095
Fighting,NES,4,4,0,100.0,4,0,100.0,4,0,100.0
Fighting,DS,36,21,15,58.333333333333336,18,18,50.0,22,14,61.111111111111114
Fighting,X360,65,8,57,12.307692307692308,5,60,7.6923076923076925,7,58,10.76923076923077
Fighting,PS3,76,19,57,25.0,15,61,19.736842105263158,16,60,21.052631578947366
Fighting,PS2,150,71,79,47.333333333333336,62,88,41.333333333333336,71,79,47.333333333333336
Fighting,SNES,25,25,0,100.0,25,0,100.0,25,0,100.0
Fighting,GBA,23,7,16,30.434782608695656,7,16,30.434782608695656,10,13,43.47826086956522
Fighting,PS4,18,7,11,38.88888888888889,7,11,38.88888888888889,7,11,38.88888888888889
Fighting,3DS,14,7,7,50.0,7,7,50.0,7,7,50.0
Fighting,N64,29,29,0,100.0,29,0,100.0,29,0,100.0
Fighting,PS,108,92,16,85.18518518518519,90,18,83.33333333333334,92,16,85.18518518518519
Fighting,XB,48,7,41,14.583333333333334,7,41,14.583333333333334,15,33,31.25
Fighting,PC,6,2,4,33.33333333333333,1,5,16.666666666666664,1,5,16.666666666666664
Fighting,2600,2,2,0,100.0,2,0,100.0,2,0,100.0
Fighting,PSP,74,42,32,56.75675675675676,38,36,51.35135135135135,41,33,55.4054054054054
Fighting,XOne,7,2,5,28.57142857142857,2,5,28.57142857142857,2,5,28.57142857142857
Fighting,WiiU,5,2,3,40.0,2,3,40.0,2,3,40.0
Fighting,GC,42,15,27,35.714285714285715,15,27,35.714285714285715,18,24,42.857142857142854
Fighting,GEN,5,5,0,100.0,5,0,100.0,5,0,100.0
Fighting,DC,12,10,2,83.33333333333334,10,2,83.33333333333334,10,2,83.33333333333334
Fighting,PSV,16,7,9,43.75,6,10,37.5,6,10,37.5
Fighting,SAT,31,31,0,100.0,31,0,100.0,31,0,100.0
Fighting,NG,11,11,0,100.0,11,0,100.0,11,0,100.0
Adventure,Wii,83,52,31,62.65060240963856,22,61,26.506024096385545,58,25,69.87951807228916
Adventure,NES,1,1,0,100.0,1,0,100.0,1,0,100.0
Adventure,GB,5,5,0,100.0,5,0,100.0,5,0,100.0
Adventure,DS,238,179,59,75.21008403361344,119,119,50.0,197,41,82.77310924369748
Adventure,X360,48,32,16,66.66666666666666,30,18,62.5,28,20,58.333333333333336
Adventure,PS3,74,54,20,72.97297297297297,50,24,67.56756756756756,49,25,66.21621621621621
Adventure,PS2,196,153,43,78.06122448979592,144,52,73.46938775510205,153,43,78.06122448979592
Adventure,SNES,4,4,0,100.0,4,0,100.0,4,0,100.0
Adventure,GBA,38,24,14,63.1578947368421,18,20,47.368421052631575,29,9,76.31578947368422
Adventure,PS4,28,14,14,50.0,14,14,50.0,13,15,46.42857142857143
Adventure,3DS,38,28,10,73.68421052631578,23,15,60.526315789473685,28,10,73.68421052631578
Adventure,N64,4,4,0,100.0,4,0,100.0,4,0,100.0
Adventure,PS,69,60,9,86.95652173913044,59,10,85.5072463768116,62,7,89.85507246376811
Adventure,XB,26,4,22,15.384615384615385,4,22,15.384615384615385,8,18,30.76923076923077
Adventure,PC,65,25,40,38.46153846153847,28,37,43.07692307692308,28,37,43.07692307692308
Adventure,2600,2,2,0,100.0,2,0,100.0,2,0,100.0
Adventure,PSP,213,200,13,93.89671361502347,199,14,93.42723004694837,200,13,93.89671361502347
Adventure,XOne,14,9,5,64.28571428571429,7,7,50.0,6,8,42.857142857142854
Adventure,WiiU,3,2,1,66.66666666666666,0,3,0.0,1,2,33.33333333333333
Adventure,GC,20,6,14,30.0,4,16,20.0,7,13,35.0
Adventure,GEN,2,2,0,100.0,2,0,100.0,2,0,100.0
Adventure,DC,11,9,2,81.81818181818183,9,2,81.81818181818183,9,2,81.81818181818183
Adventure,PSV,93,83,10,89.24731182795699,81,12,87.09677419354838,81,12,87.09677419354838
Adventure,SAT,26,26,0,100.0,26,0,100.0,26,0,100.0
Adventure,TG16,1,1,0,100.0,1,0,100.0,1,0,100.0
Adventure,3DO,1,1,0,100.0,1,0,100.0,1,0,100.0
Strategy,Wii,25,17,8,68.0,14,11,56.00000000000001,18,7,72.0
Strategy,GB,7,7,0,100.0,7,0,100.0,7,0,100.0
Strategy,DS,79,46,33,58.22784810126582,35,44,44.303797468354425,49,30,62.0253164556962
Strategy,X360,28,8,20,28.57142857142857,7,21,25.0,7,21,25.0
Strategy,PS3,24,15,9,62.5,15,9,62.5,15,9,62.5
Strategy,PS2,71,30,41,42.25352112676056,30,41,42.25352112676056,32,39,45.07042253521127
Strategy,SNES,15,15,0,100.0,15,0,100.0,15,0,100.0
Strategy,GBA,18,10,8,55.55555555555556,9,9,50.0,11,7,61.111111111111114
Strategy,PS4,6,2,4,33.33333333333333,2,4,33.33333333333333,2,4,33.33333333333333
Strategy,3DS,15,12,3,80.0,11,4,73.33333333333333,11,4,73.33333333333333
Strategy,N64,9,9,0,100.0,9,0,100.0,9,0,100.0
Strategy,PS,71,66,5,92.95774647887323,66,5,92.95774647887323,67,4,94.36619718309859
Strategy,XB,21,3,18,14.285714285714285,4,17,19.047619047619047,8,13,38.095238095238095
Strategy,PC,188,60,128,31.914893617021278,44,144,23.404255319148938,43,145,22.872340425531913
Strategy,PSP,60,46,14,76.66666666666667,44,16,73.33333333333333,45,15,75.0
Strategy,XOne,3,1,2,33.33333333333333,1,2,33.33333333333333,1,2,33.33333333333333
Strategy,WiiU,3,2,1,66.66666666666666,1,2,33.33333333333333,1,2,33.33333333333333
Strategy,GC,11,3,8,27.27272727272727,2,9,18.181818181818183,3,8,27.27272727272727
Strategy,GEN,1,1,0,100.0,1,0,100.0,1,0,100.0
Strategy,PSV,7,7,0,100.0,6,1,85.71428571428571,6,1,85.71428571428571
Strategy,SAT,18,18,0,100.0,18,0,100.0,18,0,100.0
Strategy,SCD,1,1,0,100.0,1,0,100.0,1,0,100.0
Strategy,WS,2,2,0,100.0,2,0,100.0,2,0,100.0
